江苏卫视,#genre#
《江苏卫视》,http://39.130.206.213:6410/gitv_live/G_JIANGSU-HD/G_JIANGSU-HD.m3u8
江苏卫视1,http://101.71.255.229:6610/zjhs/2/10028/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江苏卫视2,http://101.71.255.229:6610/zjhs/2/10028/index.m3u8?virtualDomain=zjhs.live_hls.zte.com&tid=QIB11UUULOI9YB2MO36UPDL85WOY&ts=1550812258
江苏卫视3,http://101.71.255.229:6610/zjhs/2/10027/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
*江苏卫视4,http://39.135.34.150:8080/000000001000/1000000001000004684/1.m3u8?I
*江苏卫视 HD,http://210.22.242.108/livecnccdn.ysp.cctv.cn/ysp/2000295602.m3u8
江苏卫视 HD1,http://ivi.bupt.edu.cn/hls/jshd.m3u8
*卫视江苏,http://47.240.60.73/aqy.php?id=3801759
*江苏卫视FHD,http://zb.j19o.cn/gcable.php?gd=jiangsuHD_7000
江苏卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
江苏卫视5,http://117.169.72.6:8080/ysten-businessmobile/live/hdjiangsustv/1.m3u8
江苏卫视6,http://shaonian123.yixuedh.com/2020/migu.php?id=623899365
*江苏卫视7,http://183.207.249.34:80/PLTV/4/224/3221227402/index.m3u8?UserName=18851042983&MAC=8C:6D:50:4C:91:52&OTTUserToken=18851042983-8C:6D:50:4C:91:52&accountinfo=yvxefADiHI1MXW5gaIZO5hiIlKSLiJtBXQdhumM1dH2IsIJmP1UxBAq03L3WxNlzfOIX59FPdAado7h9s5ZUS0%2BwWipdMTdABhAgmyZ6eCKKsykTisuszwEjI9aL4uWBdT8msbwc%2FhLALs%2BBuvnRyw%3D%3D%3A20180401122751%2C18851042983%2C112.25.7.202%2C20180401122751%2CG_JIANGSU-HQ%2C1B4CEFC7EE6192335ED71DF86C50D75E%2C%2C0%2C1%2C-1%2C%2C2%2C2000007279%2C2%2C-3%2C2%2CEND&GuardEncType=2&servicetype=1&icpid=88888888&from=5&hms_devid=4344
*江苏卫视8,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
*江苏卫视9,http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8
江苏卫视10,http://ivi.bupt.edu.cn/hls/jshd.m3u8
*江苏卫视11,http://39.135.17.183:6610/PLTV/88888888/224/3221225751/1/1000.m3u8
江苏卫视12,http://111.40.205.87/PLTV/88888888/224/3221225613/index.m3u8
*江苏卫视13,http://ott.js.chinamobile.com/PLTV/3/224/3221227561/index.m3u8
*江苏卫视14,http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8
*江苏卫视15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225930/1.m3u8
*江苏卫视16,http://39.135.34.151:18890/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004684&owchid=ystenlive&owsid=1106497909461243101&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR80rubnSCCYHmxBfxTMKdNm%2bh%2bLn%2bBGibQYrxMgSwIzfH44Sn0OHT9L7pQFHxSW%2fJ
*江苏卫视HD,http://183.238.77.9:9090/live/jiangsuHD_7000.m3u8
*江苏卫视17,http://183.238.77.9:9090/live/jiangsu_1500.m3u8
*江苏卫视高清,http://39.135.34.157:18890/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004684&owchid=ystenlive&owsid=1106497909461243101&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR80rubnSCCYHmxBfxTMKdNm%2bh%2bLn%2bBGibQYrxMgSwIzfH44Sn0OHT9L7pQFHxSW%2fJ
江苏卫视HD1,http://101.71.255.234:6610/zjhs/2/10028/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江蘇衛視 HD,mitv://198.255.74.57:12196/5f0601b20003a56eb9785c0379d8f2f7.ts
*江苏卫视18,http://39.135.19.139:18890/PLTV/88888888/224/3221226029/1/index.m3u8?fmt=ts2hls
*江苏卫视19,http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/jiangsuhd/2500/index.m3u8?ProgramID=&encrypt=
*江蘇衛視 HD1,mitv://198.255.74.57:12196/5efcb997000313129536b266e45e1b57.ts
*江苏卫视20,http://183.207.249.34:80/PLTV/4/224/3221227402/index.m3u8?UserName=18851042983&MAC=8C:6D:50:4C:91:52&OTTUserToken=18851042983-8C:6D:50:4C:91:52&accountinfo=yvxefADiHI1MXW5gaIZO5hiIlKSLiJtBXQdhumM1dH2IsIJmP1UxBAq03L3WxNlzfOIX59FPdAado7h9s5ZUS0%2BwWipdMTdABhAgmyZ6eCKKsykTisuszwEjI9aL4uWBdT8msbwc%2FhLALs%2BBuvnRyw%3D%3D%3A20180401122751%2C18851042983%2C112.25.7.202%2C20180401122751%2CG_JIANGSU-HQ%2C1B4CEFC7EE6192335ED71DF86C50D75E%2C%2C0%2C1%2C-1%2C%2C2%2C2000007279%2C2%2C-3%2C2%2CEND&GuardEncType=2&servicetype=1&icpid=88888888&from=5&hms_devid=4344
*江苏卫视HD2,http://111.20.109.68:6610/bestv/2/ch00000090990000001070/2300001/index.m3u8?&virtualDomain=bestv.live_hls.zte.com
江苏卫视21,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
江苏卫视25,http://112.50.243.8/PLTV/88888888/224/3221225847/1.m3u8
*江苏卫视22,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
江苏卫视23,http://121.31.30.91:8081/ysten-business/live/hdjiangsustv/1.m3u8
*江苏卫视24,http://125.210.152.18:9090/live/JSWSHD_H265.m3u8
*江苏卫视 7M1080,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000304/index.m3u8
*江苏卫视 576,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000018/index.m3u8
*江苏卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225923/index.m3u8

動物星球,#genre#
《動物星球》,mitv://198.255.74.57:12196/5f0601c1000b3e03b978988d7819a674.ts
*动物星球,p5p://47.244.180.114:9906/5db9412e000050e153c14bae3a472ded&link=am0708lgif
*動物星球1,http://t.gerss.cn/dl/htv.php?id=12
*动物星球1,http://192.200.120.82:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
*动物星球2,http://104.250.154.42:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
*动物星球3,p8p://0198.02686.cc:16871/5d1a69da000a2acf11be734ba3f44eda.ts
*動物星球2,mitv://198.255.74.57:12396/5e50206000073b993d327f768043421f.ts
*動物星球3,http://tv.kksyw.top/tv_157/gat/hatv.php?id=12
*動物星球4,mitv://51.79.41.138:18912/5b14096100006f33573def4a3329b20b.ts
*动物星球4,P2p://190.2.149.54:18912/5b14096100006f33573def4a3329b20b.tsf
*动物星球5,mitv://190.2.149.54:18912/5b14096100006f33573def4a3329b20b.ts
*动物星球6,mitv://sdgdklwos.finetv.tv:9906/59fd254500042de102a611e03cd83fa7
*动物星球7,vjms://58.215.133.185:8500:3502/live/cid=3
*动物星球8,vjms://121.14.222.75:8500:3502/live/cid=3
*动物星球9,vjms://23.237.33.155:8500:3502/live/cid=3
*動物星球頻道(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_12_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*動物星球8,mitv://198.255.74.57:12196/5efcb9a30007589b9536e25e8ce7b4e7.ts
*動物星球9,http://f9.apps1818.com:8080/live/1125/fe3f44d83db01b43ae538dd057f06350/index.m3u8
*動物星球10,http://f9.apps1818.com:8080/live/368/8fd89098988c05ec516fbea2a817fd90/index.m3u8
*動物星球11,http://f9.apps1818.com:8080/live/1125/fe3f44d83db01b43ae538dd057f06350/index.m3u8
動物星球12,http://192.154.103.75:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
動物星球13,vjms://58.215.133.189:8500:3502/live/cid=3
動物星球14,http://104.250.154.42:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8

國家地理野生,#genre#
《國家地理野生》,vjms://58.215.133.189:8500:5021/live/cid=263
*國家地理野生1,p5p://47.244.180.114:9906/5db948e1000dc58d53df625102eb1dd4&link=am0708lgif
國家地理野生頻道 HD,mitv://198.255.74.57:12196/5f0601c50001d0a9b978a5c37c78833f.ts
*國家地理野生頻道 HD1,mitv://198.255.74.57:12396/5e502063000465923d328a746d4c01dd.ts
*國家地理野生2,P2p://51.79.41.138:18912/5c7249fb000db88c1d5885e333974925
*國家地理野生3,vjms://58.215.133.161:8500/live/cid=263
*國家地理野生4,mitv://190.2.146.92:18912/5c7249fb000db88c1d5885e333974925.ts
*地理野生频道 HD,P2p://lino.homeunix.com:6007/59fd082b000c6ca7023466633fed4c93.ts
*國家地理野生HD,http://tv.kksyw.top/tv_157/gat/hatv.php?id=114
*Nat Geo Wild,mitv://51.79.41.138:18912/5b1409170007d3427577583c60df8661.ts
*国家地理野生,P2p://190.2.149.54:18912/5c7249fb000db88c1d5885e333974925.ts
*国家地理野生1,mitv://190.2.149.54:18912/5c7249fb000db88c1d5885e333974925.ts
*國家地理野生5,mitv://51.79.41.138:18912/5c7249fb000db88c1d5885e333974925.ts
*国家地理野生2,vjms://58.215.133.185:8500:3502/live/cid=263
*国家地理野生4,vjms://121.14.222.75:8500:3502/live/cid=263
*国家地理野生5,vjms://23.237.33.155:8500:3502/live/cid=263
*国家地理野生3,http://39.134.135.12:80/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1594133835-1-1579912753.hls.ts
*國家地理野生頻道 HD2,mitv://198.255.74.57:12196/5efcb9a60006a8879536ede996e4d711.ts
*國家野生,http://f9.apps1818.com:8080/live/1038/14609b15b757bb8120d318ade317eeb9/index.m3u8
*國家地理野生頻道 HD3,mitv://198.255.74.57:12396/5e502063000465923d328a746d4c01dd.ts

好萊塢電影,#genre#
《好萊塢電影》,http://125.227.210.37:47862/VideoInput/play.ts
*好萊塢電影1,http://t.gerss.cn/dl/htv.php?id=68
*好莱坞电影,p5p://47.244.180.114:9906/5db94a0e000c946053e3f9ca114c5efa&link=am0708lgif
好萊塢電影臺,mitv://198.255.74.57:12196/5f0601e6000e2290b97929d38fe52ce5.ts
*好莱坞电影1,http://192.200.120.82:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
*好莱坞电影2,mitv://198.255.74.57:12396/5e5020690009caca3d32a3469e5e4340.ts
*好莱坞电影3,http://104.250.154.42:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
*好莱坞电影4,http://ter.live2.ksmobile.net/yolo/6fcd5b16f6e34f8eb5630a17f946955c.flv
*好萊塢電影2,P2p://51.79.41.138:18912/5c7249e2000125281d5820ff23a165d1
*好萊塢電影3,p2p://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts
*好萊塢電影4,mitv://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts
*好萊塢,http://104.250.154.42:8080//ZZ_haolaiwu/ZZ_haolaiwu.m3u8
*好萊塢電影5,http://tv.kksyw.top/tv_157/gat/hatv.php?id=68
*好萊塢電影6,mitv://51.79.41.138:18912/5b1409f3000c1df53f7ba0012d829cba.ts
好莱坞电影[1280*720],http://192.154.103.75:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
*好莱坞电影5,mitv://sdgdklwos.finetv.tv:9906/5a141b66000b4be65f90135822b40e43
*好萊塢电影7,mitv://51.79.41.138:18912/5c7249e2000125281d5820ff23a165d1.ts
*Hollywood Movies,http://185.93.2.35:12012/live/359111068247FFA1/pAggUvYKD6HbSHDAyuTp_xKpr8ILq5abwotcswPdXxPv5Pz5WRtgqR2bESEGYW8S/AF910DBA4003497B/228803.ts
*好萊塢電影台(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_68_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015
*好萊塢電影臺1,mitv://198.255.74.57:12196/5efcb9c1000d503e95375915d5436bdd.ts

FOX MOVIES HD,#genre#
《FOX MOVIES HD》,https://pullstream-ucan.speedws.com/live/aaa1038zzz/playlist.m3u8
*FOX MOVIES HD1,http://t.gerss.cn/dl/htv.php?id=69
*FOX HD,p5p://47.244.180.114:9906/5db940d0000e9efd53bfe0277cb553dc&link=am0708lgif
*FOX MOVIES HD2,http://58.99.33.9:1935/liveedge2/live_69_1.stream/chunklist2083437237.m3u8?checkCode=37050688asdfsdfsadf&aa=as
FOX MOVIES HD3,mitv://198.255.74.57:12196/5f0601ec000b89feb979409975530a87.ts
*FOX 优质影院 HD,P2p://lino.homeunix.com:6007/59fd246a0009125502a2bba01b0f4bf5.ts
*衛視西片台,http://tv.kksyw.top/tv_157/gat/hatv.php?id=69
*FOX MOVIES,mitv://51.79.41.138:18912/5b140977000ab01d585a8480a4ebc703.ts
*FOX MOVIES1,mitv://190.2.146.92:18912/5e0484610006590822b373742c08ac33.ts
*FOX优质电影,mitv://sdgdklwos.finetv.tv:9906/59fd246a0009125502a2bba01b0f4bf5
*FOX MOVIES(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_69_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=

FOX动作电影,#genre#
《FOX动作电影》,http://192.154.103.75:8080/ZZ_foxaction/ZZ_foxaction.m3u8
FOX动作电影1,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
*FOX Action,p5p://47.244.180.114:9906/5db948fd0007189153dfcdfb7f575fc2&link=am0708lgif
*福克斯电影,http://192.200.120.82:8080/ZZ_foxaction/ZZ_foxaction.m3u8
*福克斯电影1,vjms://58.215.133.185:8500:3502/live/cid=94
*FOX動作電影 HD,mitv://198.255.74.57:12396/5e5020660007a1523d32970079e9e50d.ts
*FOX 动作电影 HD,P2p://lino.homeunix.com:6007/59fd244900002be402a238767364317b.ts
*FOX動作,mitv://51.79.41.138:18912/5b140977000904d6def2b7bfc5996a48.ts
*FOX动作,P2p://190.2.149.54:18912/5b140977000904d6def2b7bfc5996a48.ts
*FOX动作1,mitv://190.2.149.54:18912/5b140977000904d6def2b7bfc5996a48.ts
*FOX動作電影 HD1,mitv://198.255.74.57:12196/5efcb9c50002fd26953766102f3fe4de.ts
*FOX動作電影 HD2,mitv://198.255.74.57:12396/5e5020660007a1523d32970079e9e50d.ts

HBOHD,#genre#
《HBOHD》,mitv://198.255.74.57:12196/5f0601e6000a7cfeb97928e41d1d8b96.ts
*HBOHD1,http://t.gerss.cn/dl/htv.php?id=220
*HBOHD2,https://pullstream-ucan.speedws.com/live/aaa1050zzz/playlist.m3u8
*HBOHD3,p5p://47.244.180.114:9906/5db945590004f34053d194ce2d966c86&link=am0708lgif
HBO HD,http://125.227.210.37:12801/VideoInput/play.ts
*HBO HD1,mitv://198.255.74.57:12396/5e50206900060f303d32a25155c14c28.ts
*HBO HD2,p2p://190.2.146.92:18912/5c7249dd000ca2101d58106551ff3ed4.ts
*HBO HD3,mitv://190.2.146.92:18912/5c7249dd000ca2101d58106551ff3ed4.ts
*HBO HD4,P2p://lino.homeunix.com:6007/59fd1566000391610268129978510d8e.ts
*HBO HD5,http://tv.kksyw.top/tv_157/gat/hatv.php?id=220
*HBO HD6,mitv://51.79.41.138:18912/5c7249dd000ca2101d58106551ff3ed4.ts
*HBO HD7,http://185.93.2.35:12012/live/359111068247FFA1/MSdNvjRLro767t_p65rdcnI4-y2Cthpn1M5pEu1pJ5lbTHbp_NSsbesMwGJmmPcN/35A99883E6FC4D2F/767116.ts
*HBO(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_65_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*HBO HD8,http://58.99.33.2:1935/liveedge2/foNmEJqW_220_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*HBO HD9,mitv://198.255.74.57:12196/5efcb9c100096821953758156490b43e.ts

HBO原創,#genre#
《HBO原創》,mitv://198.255.74.57:12196/5f0601ec000e22c5b97941434cb02537.ts
*HBO Signature,p5p://47.244.180.114:9906/5db9456800043c2553d1cf38417452a1&link=am0708lgif
*HBO Signature HD,http://t.gerss.cn/dl/htv.php?id=221
*HBO Signature HD1,mitv://198.255.74.57:12396/5e502066000a4dfd3d3297afe1778d3a.ts
*HBO原创巨献 HD,P2p://lino.homeunix.com:6007/59fd14fc0005019f026674e730ed03b5.ts
*HBO 原創鉅獻,http://tv.kksyw.top/tv_157/gat/hatv.php?id=221
*HBO原創1,mitv://51.79.41.138:18912/5b14096a000a35a18cfea51d3f86d8c2.ts
*HBO原创,P2p://190.2.149.54:18912/5c7249f30006ed2f1d5864de52e5054e.ts
*HBO原创1,mitv://190.2.149.54:18912/5c7249f30006ed2f1d5864de52e5054e.ts
*HBO原创巨献,mitv://sdgdklwos.finetv.tv:9906/59fd14fc0005019f026674e730ed03b5
*HBO Signature(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_221_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*HBO Signature HD2,mitv://198.255.74.57:12196/5efcb9c500059f6a953766bdba014131.ts
*HBO Signature HD3,mitv://198.255.74.57:12396/5e502066000a4dfd3d3297afe1778d3a.ts

HBO強檔,#genre#
《HBO強檔》,mitv://198.255.74.57:12196/5f0601ec000ef6d4b9794179c2bc8a3e.ts
*HBO Hits1,p5p://47.244.180.114:9906/5db9458e000792a353d264823a7640f0&link=am0708lgif
*HBO Hits,http://t.gerss.cn/dl/htv.php?id=223
*HBO Hits2,mitv://198.255.74.57:12396/5e502066000b276d3d3297e76f60aed2.ts
*HBO Hits 强档巨献,P2p://lino.homeunix.com:6007/59fd22e50004a1f8029ccaff41480126.ts
*HBO 強檔鉅獻,http://tv.kksyw.top/tv_157/gat/hatv.php?id=223
*HBO強檔1,mitv://51.79.41.138:18912/5b14096900084dd9c11cc16c5611eb76.ts
*HBO强档,P2p://190.2.149.54:18912/5c7249ee000f145b1d5853691cf1378b.ts
*HBO强档1,mitv://190.2.149.54:18912/5c7249ee000f145b1d5853691cf1378b.ts
*HBO强档巨献,mitv://sdgdklwos.finetv.tv:9906/59fd22e50004a1f8029ccaff41480126
*HBO HiTS,http://185.93.2.35:12012/live/359111068247FFA1/55zLveuMxJaGb66TPSSDHuj8wNVOiCBlmtrvGrrN3kIeW0iYYu81-Cmj2tU6au0t/6FD1470786354194/711776.ts
*HBO Hits(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_223_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*HBO Hits3,mitv://198.255.74.57:12196/5efcb9c50006794c953766f525ba6967.ts

CINEMAX,#genre#
《CINEMAX》,mitv://198.255.74.57:12196/5f0601ec00083757b9793fbfdd319d85.ts
*CineMAX,p5p://47.244.180.114:9906/5db9459b000e029653d298f021b64405&link=am0708lgif
CINEMAX1,http://106.54.30.243/gz009/gz.php?id=cinemax
*CINEMAX7,http://t.gerss.cn/dl/htv.php?id=71
*CINEMAX2,mitv://198.255.74.57:12396/5e502066000416113d3296180d0ae225.ts
*CINEMAX電影,http://tv.kksyw.top/tv_157/gat/hatv.php?id=71
*CINEMAX3,mitv://51.79.41.138:18912/5b14096000043ff9d8d644e74afa7324.ts
*CINEMAX4,P2p://190.2.149.54:18912/5b14096000043ff9d8d644e74afa7324.ts
*CINEMAX5,mitv://190.2.149.54:18912/5b14096000043ff9d8d644e74afa7324.ts
*CINEMAX(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_71_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015&dr=&mmmm=
*CINEMAX6,mitv://198.255.74.57:12196/5efcb9c4000e98bf95376521c029e488.ts
Cinemax,http://mszb198610.5ay.xyz/mszbgzgdtvcm000.php?id=cinemax

東森洋片,#genre#
《東森洋片HD》,mitv://198.255.74.57:12196/5f0601d0000ab092b978d301baff2eac.ts
*東森洋片台,http://t.gerss.cn/dl/htv.php?id=66
*东森洋片,p5p://47.244.180.114:9906/5db94609000c575753d44633704f1724&link=am0708lgif
*東森洋片,mitv://198.255.74.57:12196/5efcb9af00047c529537108249281ad2.ts
東森洋片1,http://125.227.210.37:41320/VideoInput/play.ts
東森洋片2,http://192.154.103.75:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
東森洋片3,http://104.250.154.42:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
*东森洋片1,mitv://198.255.74.57:12396/5e50207a000ef5883d32e7001d1666d4.ts
*东森洋片HD1,P2p://sdgdklwos.finetv.tv:9906/59fd17860002b83302705f6a03a560d2
*东森洋片 HD,P2p://lino.homeunix.com:6007/59fd17860002b83302705f6a03a560d2.ts
*東森洋片台1,http://tv.kksyw.top/tv_157/gat/hatv.php?id=66
*東森洋片4,mitv://51.79.41.138:18912/5b14092300021ad1076b0d328d567031.ts
*东森洋片2,P2p://190.2.149.54:18912/5b14092300021ad1076b0d328d567031.ts
*东森洋片3,mitv://190.2.149.54:18912/5b14092300021ad1076b0d328d567031.ts
*东森洋片4,mitv://sdgdklwos.finetv.tv:9906/59fd17860002b83302705f6a03a560d2
*東森洋片台(HD),http://58.99.33.2:1935/liveedge2/foNmEJqW_66_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=9000234&as=2015
